LDNA (nm)	j (index)	j stdev	Force (pN)	fstdev
2.126000E+3	2.129619E+3	6.197879E+0	1.457436E+1	1.808163E-1
2.127000E+3	2.130060E+3	5.715581E+0	1.458990E+1	1.673262E-1
2.128000E+3	2.130436E+3	5.250154E+0	1.460738E+1	1.542367E-1
2.129000E+3	2.130752E+3	4.807334E+0	1.462660E+1	1.417200E-1
2.130000E+3	2.131019E+3	4.390953E+0	1.464735E+1	1.298945E-1
2.131000E+3	2.131241E+3	4.003258E+0	1.466943E+1	1.188339E-1
2.132000E+3	2.131427E+3	3.645247E+0	1.469268E+1	1.085756E-1
2.133000E+3	2.131581E+3	3.316974E+0	1.471691E+1	9.912983E-2
2.134000E+3	2.131709E+3	3.017820E+0	1.474200E+1	9.048647E-2
2.135000E+3	2.131815E+3	2.746705E+0	1.476781E+1	8.262163E-2
2.136000E+3	2.131904E+3	2.502266E+0	1.479424E+1	7.550249E-2
2.137000E+3	2.131978E+3	2.282987E+0	1.482120E+1	6.909104E-2
2.138000E+3	2.132040E+3	2.087295E+0	1.484862E+1	6.334703E-2
2.139000E+3	2.132092E+3	1.913628E+0	1.487642E+1	5.822992E-2
2.140000E+3	2.132136E+3	1.760482E+0	1.490457E+1	5.370034E-2
2.141000E+3	2.132173E+3	1.626439E+0	1.493301E+1	4.972101E-2
2.142000E+3	2.132206E+3	1.510184E+0	1.496171E+1	4.625724E-2
2.143000E+3	2.132234E+3	1.410514E+0	1.499064E+1	4.327729E-2
2.144000E+3	2.132258E+3	1.326348E+0	1.501978E+1	4.075258E-2
2.145000E+3	2.132280E+3	1.256749E+0	1.504910E+1	3.865822E-2
2.146000E+3	2.132300E+3	1.200972E+0	1.507859E+1	3.697408E-2
2.147000E+3	2.132319E+3	1.158581E+0	1.510824E+1	3.568749E-2
2.148000E+3	2.132336E+3	1.129701E+0	1.513802E+1	3.479913E-2
2.149000E+3	2.132352E+3	1.115541E+0	1.516793E+1	3.433554E-2
2.150000E+3	2.132369E+3	1.119437E+0	1.519795E+1	3.437457E-2
2.151000E+3	2.132386E+3	1.148837E+0	1.522808E+1	3.509500E-2
2.152000E+3	2.132404E+3	1.218685E+0	1.525827E+1	3.686604E-2
2.153000E+3	2.132425E+3	1.356272E+0	1.528849E+1	4.038753E-2
2.154000E+3	2.132452E+3	1.606328E+0	1.531866E+1	4.686096E-2
2.155000E+3	2.132492E+3	2.034703E+0	1.534857E+1	5.813439E-2
2.156000E+3	2.132559E+3	2.732384E+0	1.537785E+1	7.681865E-2
2.157000E+3	2.132684E+3	3.825257E+0	1.540563E+1	1.065148E-1
2.158000E+3	2.132936E+3	5.491278E+0	1.543002E+1	1.522663E-1
2.159000E+3	2.133461E+3	7.978309E+0	1.544691E+1	2.210803E-1
2.160000E+3	2.134573E+3	1.160082E+1	1.544754E+1	3.218884E-1
2.161000E+3	2.136903E+3	1.665114E+1	1.541421E+1	4.631226E-1
2.162000E+3	2.141556E+3	2.307239E+1	1.531573E+1	6.435868E-1
2.163000E+3	2.149903E+3	2.974556E+1	1.511306E+1	8.323258E-1
2.164000E+3	2.162248E+3	3.398711E+1	1.479656E+1	9.539863E-1
2.165000E+3	2.176074E+3	3.319184E+1	1.443603E+1	9.343479E-1
2.166000E+3	2.187450E+3	2.788983E+1	1.414220E+1	7.868038E-1
2.167000E+3	2.194684E+3	2.109772E+1	1.396385E+1	5.954593E-1
2.168000E+3	2.198599E+3	1.516923E+1	1.387875E+1	4.266368E-1
2.169000E+3	2.200587E+3	1.089043E+1	1.384810E+1	3.027514E-1
2.170000E+3	2.201625E+3	8.191875E+0	1.384448E+1	2.222304E-1
2.171000E+3	2.202237E+3	6.731204E+0	1.385314E+1	1.762808E-1
2.172000E+3	2.202672E+3	6.106805E+0	1.386695E+1	1.547214E-1
2.173000E+3	2.203048E+3	5.962451E+0	1.388263E+1	1.479928E-1
2.174000E+3	2.203417E+3	6.057600E+0	1.389868E+1	1.490202E-1
2.175000E+3	2.203804E+3	6.262282E+0	1.391441E+1	1.537003E-1
2.176000E+3	2.204220E+3	6.514143E+0	1.392946E+1	1.599983E-1
2.177000E+3	2.204671E+3	6.783668E+0	1.394367E+1	1.669528E-1
2.178000E+3	2.205162E+3	7.055575E+0	1.395693E+1	1.740841E-1
2.179000E+3	2.205694E+3	7.320379E+0	1.396919E+1	1.811122E-1
2.180000E+3	2.206266E+3	7.570889E+0	1.398044E+1	1.878367E-1
2.181000E+3	2.206877E+3	7.800896E+0	1.399069E+1	1.940900E-1
2.182000E+3	2.207526E+3	8.004795E+0	1.400000E+1	1.997218E-1
2.183000E+3	2.208209E+3	8.177626E+0	1.400845E+1	2.045981E-1
2.184000E+3	2.208920E+3	8.315266E+0	1.401614E+1	2.086051E-1
2.185000E+3	2.209654E+3	8.414674E+0	1.402323E+1	2.116557E-1
2.186000E+3	2.210405E+3	8.474110E+0	1.402988E+1	2.136949E-1
2.187000E+3	2.211164E+3	8.493276E+0	1.403625E+1	2.147045E-1
2.188000E+3	2.211926E+3	8.473349E+0	1.404255E+1	2.147043E-1
2.189000E+3	2.212683E+3	8.416913E+0	1.404893E+1	2.137510E-1
2.190000E+3	2.213429E+3	8.327747E+0	1.405556E+1	2.119336E-1
2.191000E+3	2.214158E+3	8.210550E+0	1.406259E+1	2.093665E-1
2.192000E+3	2.214866E+3	8.070591E+0	1.407014E+1	2.061814E-1
2.193000E+3	2.215550E+3	7.913344E+0	1.407829E+1	2.025176E-1
2.194000E+3	2.216208E+3	7.744147E+0	1.408710E+1	1.985132E-1
2.195000E+3	2.216838E+3	7.567904E+0	1.409662E+1	1.942973E-1
2.196000E+3	2.217440E+3	7.388873E+0	1.410686E+1	1.899836E-1
2.197000E+3	2.218015E+3	7.210534E+0	1.411780E+1	1.856671E-1
2.198000E+3	2.218563E+3	7.035545E+0	1.412945E+1	1.814216E-1
2.199000E+3	2.219086E+3	6.865785E+0	1.414175E+1	1.773006E-1
2.200000E+3	2.219585E+3	6.702454E+0	1.415469E+1	1.733394E-1
2.201000E+3	2.220062E+3	6.546229E+0	1.416823E+1	1.695581E-1
2.202000E+3	2.220517E+3	6.397449E+0	1.418233E+1	1.659670E-1
2.203000E+3	2.220954E+3	6.256309E+0	1.419695E+1	1.625705E-1
2.204000E+3	2.221372E+3	6.123071E+0	1.421207E+1	1.593733E-1
2.205000E+3	2.221774E+3	5.998262E+0	1.422764E+1	1.563850E-1
2.206000E+3	2.222161E+3	5.882869E+0	1.424364E+1	1.536255E-1
2.207000E+3	2.222535E+3	5.778529E+0	1.426002E+1	1.511303E-1
2.208000E+3	2.222896E+3	5.687722E+0	1.427675E+1	1.489551E-1
2.209000E+3	2.223248E+3	5.613955E+0	1.429377E+1	1.471811E-1
2.210000E+3	2.223593E+3	5.561932E+0	1.431104E+1	1.459200E-1
2.211000E+3	2.223932E+3	5.537701E+0	1.432847E+1	1.453186E-1
2.212000E+3	2.224271E+3	5.548706E+0	1.434598E+1	1.455610E-1
2.213000E+3	2.224614E+3	5.603732E+0	1.436345E+1	1.468693E-1
2.214000E+3	2.224966E+3	5.712618E+0	1.438074E+1	1.494986E-1
2.215000E+3	2.225335E+3	5.885756E+0	1.439765E+1	1.537255E-1
2.216000E+3	2.225730E+3	6.133279E+0	1.441394E+1	1.598293E-1
2.217000E+3	2.226164E+3	6.464083E+0	1.442933E+1	1.680661E-1
2.218000E+3	2.226649E+3	6.884663E+0	1.444342E+1	1.786372E-1
2.219000E+3	2.227204E+3	7.397888E+0	1.445579E+1	1.916542E-1
2.220000E+3	2.227848E+3	8.001664E+0	1.446588E+1	2.071007E-1
2.221000E+3	2.228604E+3	8.687464E+0	1.447310E+1	2.247912E-1
2.222000E+3	2.229497E+3	9.438696E+0	1.447679E+1	2.443263E-1
2.223000E+3	2.230550E+3	1.022914E+1	1.447632E+1	2.650497E-1
2.224000E+3	2.231782E+3	1.102194E+1	1.447115E+1	2.860188E-1
2.225000E+3	2.233203E+3	1.176998E+1	1.446098E+1	3.060116E-1
2.226000E+3	2.234809E+3	1.241864E+1	1.444587E+1	3.235942E-1
2.227000E+3	2.236575E+3	1.291152E+1	1.442639E+1	3.372679E-1
2.228000E+3	2.238459E+3	1.319887E+1	1.440364E+1	3.456878E-1
2.229000E+3	2.240397E+3	1.324683E+1	1.437921E+1	3.479084E-1
2.230000E+3	2.242320E+3	1.304462E+1	1.435496E+1	3.435801E-1
2.231000E+3	2.244156E+3	1.260700E+1	1.433274E+1	3.330230E-1
2.232000E+3	2.245847E+3	1.197085E+1	1.431414E+1	3.171484E-1
2.233000E+3	2.247352E+3	1.118730E+1	1.430025E+1	2.972588E-1
2.234000E+3	2.248653E+3	1.031225E+1	1.429162E+1	2.748010E-1
2.235000E+3	2.249750E+3	9.398111E+0	1.428831E+1	2.511492E-1
2.236000E+3	2.250656E+3	8.488573E+0	1.429002E+1	2.274615E-1
2.237000E+3	2.251392E+3	7.616417E+0	1.429622E+1	2.046184E-1
2.238000E+3	2.251983E+3	6.803768E+0	1.430627E+1	1.832242E-1
2.239000E+3	2.252455E+3	6.063695E+0	1.431954E+1	1.636458E-1
2.240000E+3	2.252831E+3	5.402313E+0	1.433543E+1	1.460662E-1
2.241000E+3	2.253130E+3	4.820785E+0	1.435343E+1	1.305358E-1
2.242000E+3	2.253369E+3	4.317062E+0	1.437309E+1	1.170180E-1
2.243000E+3	2.253562E+3	3.887131E+0	1.439407E+1	1.054224E-1
2.244000E+3	2.253720E+3	3.525902E+0	1.441607E+1	9.562828E-2
2.245000E+3	2.253851E+3	3.227770E+0	1.443888E+1	8.750011E-2
2.246000E+3	2.253961E+3	2.986963E+0	1.446231E+1	8.089665E-2
2.247000E+3	2.254057E+3	2.797740E+0	1.448622E+1	7.567619E-2
2.248000E+3	2.254142E+3	2.654545E+0	1.451051E+1	7.170013E-2
2.249000E+3	2.254219E+3	2.552153E+0	1.453508E+1	6.883620E-2
2.250000E+3	2.254292E+3	2.485862E+0	1.455988E+1	6.696300E-2
2.251000E+3	2.254361E+3	2.451714E+0	1.458483E+1	6.597539E-2
